token_id,document_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,7
72,7
73,7
74,7
75,7
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,8
90,8
91,8
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,11
116,11
117,11
118,11
119,11
120,11
121,12
122,12
123,12
124,12
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,14
135,14
136,14
137,14
138,14
139,14
140,14
141,14
142,14
143,14
144,14
145,15
146,15
147,15
148,15
149,15
150,15
151,15
152,15
153,15
154,15
155,15
156,16
157,16
158,16
159,16
160,16
161,16
162,16
163,16
164,16
165,16
166,17
167,17
168,17
169,17
170,17
171,17
172,17
173,17
174,17
175,18
176,18
177,18
178,18
179,18
180,18
181,18
182,18
183,18
184,18
185,19
186,19
187,19
188,19
189,19
190,19
191,19
192,19
193,19
194,20
195,20
196,20
197,20
198,20
199,20
200,20
201,20
202,20
203,21
204,21
205,21
206,21
207,21
208,21
209,21
210,21
211,21
212,21
213,22
214,22
215,22
216,22
217,22
218,22
219,22
220,22
221,23
222,23
223,23
224,23
225,23
226,23
227,23
228,23
229,23
230,23
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,24
241,24
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,25
253,25
254,25
255,25
256,25
257,25
258,25
259,25
260,25
261,25
262,25